Erstfeld_S_Goeschenen,,,,,,
Datum,Fahrzeuge pro 3Min,Durchschnittsgeschwindigkeit,Fahrzeuge pro 3Min Vergleichstage Fr 25.7.2014 - Sa 26.7.2014,Durchschnittsgeschwindigkeit Vergleichstage Fr 25.7.2014 - Sa 26.7.2014,Fahrzeuge pro 3Min Vergleichstage Fr 1.8.2014 - Sa 2.8.2014,Durchschnittsgeschwindigkeit Vergleichstage Fr 1.8.2014 - Sa 2.8.2014</title>
2014-07-18 05:27-05:30,38,113,38,111,41,110
2014-07-18 05:30-05:33,28,107,16,99,34,113
2014-07-18 05:33-05:36,41,113,31,111,41,111
2014-07-18 05:36-05:39,35,110,36,109,42,114
2014-07-18 05:39-05:42,27,105,50,111,39,110
2014-07-18 05:42-05:45,41,109,34,103,54,111
2014-07-18 05:45-05:48,29,109,35,110,47,108
2014-07-18 05:48-05:51,43,111,46,115,36,115
2014-07-18 05:51-05:54,43,119,29,112,53,109
2014-07-18 05:54-05:57,42,110,41,107,52,111
2014-07-18 05:57-06:00,65,113,38,107,36,113
2014-07-18 06:00-06:03,57,111,40,105,41,118
2014-07-18 06:03-06:06,38,108,49,109,52,115
2014-07-18 06:06-06:09,48,110,32,110,44,114
2014-07-18 06:09-06:12,48,107,46,113,52,112
2014-07-18 06:12-06:15,59,112,49,106,48,115
2014-07-18 06:15-06:18,36,103,41,110,52,118
2014-07-18 06:18-06:21,56,114,41,114,57,116
2014-07-18 06:21-06:24,29,109,49,109,41,109
2014-07-18 06:24-06:27,43,113,58,110,31,113
2014-07-18 06:27-06:30,42,111,52,113,62,117
2014-07-18 06:30-06:33,48,111,40,110,52,114
2014-07-18 06:33-06:36,53,110,54,107,49,112
2014-07-18 06:36-06:39,47,114,64,110,52,115
2014-07-18 06:39-06:42,58,110,53,107,44,117
2014-07-18 06:42-06:45,53,107,53,108,50,117
2014-07-18 06:45-06:48,44,108,54,112,67,115
2014-07-18 06:48-06:51,50,106,47,114,61,118
2014-07-18 06:51-06:54,48,113,54,111,57,120
2014-07-18 06:54-06:57,55,109,62,111,39,120
2014-07-18 06:57-07:00,59,107,56,111,60,117
2014-07-18 07:00-07:03,47,109,49,114,66,115
2014-07-18 07:03-07:06,49,109,40,108,55,116
2014-07-18 07:06-07:09,55,105,31,106,61,112
2014-07-18 07:09-07:12,34,109,54,113,78,116
2014-07-18 07:12-07:15,59,113,48,105,50,114
2014-07-18 07:15-07:18,59,108,56,109,49,115
2014-07-18 07:18-07:21,46,109,47,109,64,115
2014-07-18 07:21-07:24,68,108,45,113,51,118
2014-07-18 07:24-07:27,67,111,44,110,66,112
2014-07-18 07:27-07:30,50,112,47,108,67,115
2014-07-18 07:30-07:33,54,112,59,111,66,114
2014-07-18 07:33-07:36,57,108,67,109,53,116
2014-07-18 07:36-07:39,56,107,39,112,57,111
2014-07-18 07:39-07:42,59,111,69,112,44,111
